tweet_id,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url
347,https://twitter.com/CodeClanScot/status/1131477871397081088,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
346,https://twitter.com/CodeClanScot/status/1131199199725477888,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
345,https://twitter.com/CodeClanScot/status/1131198519769993217,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
344,https://twitter.com/CodeClanScot/status/1131188636991541248,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
343,https://twitter.com/CodeClanScot/status/1131140312888483840,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
342,https://twitter.com/CodeClanScot/status/1130824730263601153,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
341,https://twitter.com/CodeClanScot/status/1130815974062678017,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
340,https://twitter.com/CodeClanScot/status/1130814363667972096,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
339,https://twitter.com/CodeClanScot/status/1130814292566134789,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
338,https://twitter.com/CodeClanScot/status/1130795810659209216,CodeClan,Edinburgh & Glasgow & Inverness,Change your career through our immersive full time courses or up-skill through our range of short courses. Join our team and hire job-ready talent!,https://t.co/cT46pkkCBO,FALSE,5835,2632,119,6103,4443,13/05/15 08:21,FALSE,https://t.co/cT46pkkCBO
